HSA_NAME,Developmental Screening,Abstain From Smoking During Pregnancy,Breast Cancer Screening,Cervical Cancer Screening,Chlamydia Screening,Neonatal Abstinence Syndrome,,Overall
Barre,4,2,4,4,4,,,0.2
Bennington,2,2,4,4,1,,,0.75
Brattleboro,4,1,1,1,1,,,4
Burlington,4,4,2,4,4,,,0.2
Middlebury,3,2,3,3,3,,,1
Morrisville,1,2,1,1,1,,,5
Newport,2,2,2,2,4,,,0.8
Randolph,2,2,2,2,3,,,1
Rutland,1,2,4,2,1,,,1.333333333
Springfield,1,2,1,1,2,,,2.5
St. Albans,2,2,3,1,4,,,1
St. Johnsbury,2,2,4,4,2,,,0.6
White River Jct,4,2,1,1,2,,,1.333333333
