HSA_NAME,Developmental Screening,Abstain From Smoking During Pregnancy,Breast Cancer Screening,Cervical Cancer Screening,Chlamydia Screening,Neonatal Abstinence Syndrome,,Overall
Barre,1,0,1,1,1,,,4
Bennington,0,0,1,1,0,,,2
Brattleboro,1,0,0,0,0,,,1
Burlington,1,1,0,1,1,,,4
Middlebury,1,0,1,1,1,,,4
Morrisville,0,0,0,0,0,,,0
Newport,0,0,0,0,1,,,1
Randolph,0,0,0,0,1,,,1
Rutland,0,0,1,0,0,,,1
Springfield,0,0,0,0,0,,,0
St. Albans,0,0,1,0,1,,,2
St. Johnsbury,0,0,1,1,0,,,2
White River Jct,1,0,0,0,0,,,1
